bits,codes,action_agreement,mean_regret,q_distortion,reconstruction_error,method
1,2,1.0,0.0,0.0,0.32882144337813063,q_memory
1,2,0.482,1.036,1.0005648362797417,0.3281388356023991,reconstruction
1,2,0.482,1.036,1.0014031592362647,0.3267796365781905,sliding_window
2,2,1.0,0.0,0.0,0.32882144337813063,q_memory
2,4,0.482,1.036,1.0006022758036528,0.32765983431634216,reconstruction
2,4,0.482,1.036,1.0007063354549455,0.3281967168181241,sliding_window
3,2,1.0,0.0,0.0,0.32882144337813063,q_memory
3,8,0.49,1.02,1.0011397073011938,0.3264788645507074,reconstruction
3,8,0.492,1.016,1.0008243052106598,0.328782867423333,sliding_window
4,2,1.0,0.0,0.0,0.32882144337813063,q_memory
4,16,0.5053333333333333,0.9893333333333333,1.0006264132713687,0.3226294194870063,reconstruction
4,16,0.492,1.016,1.0012812186413018,0.3287461156350741,sliding_window
5,2,1.0,0.0,0.0,0.32882144337813063,q_memory
5,32,0.49133333333333334,1.0173333333333334,1.0007356471983273,0.3163614797301253,reconstruction
5,32,0.49066666666666664,1.0186666666666666,0.9990600962537387,0.3292295215123973,sliding_window
6,2,1.0,0.0,0.0,0.32882144337813063,q_memory
6,64,0.49866666666666665,1.0026666666666666,1.0016258270211293,0.3101090881793909,reconstruction
6,64,0.498,1.004,1.0002565879791143,0.3297943999425629,sliding_window
7,2,1.0,0.0,0.0,0.32882144337813063,q_memory
7,128,0.48,1.04,1.0081095080284526,0.3029882164437325,reconstruction
7,128,0.4866666666666667,1.0266666666666666,1.0098296986205668,0.33071342501564654,sliding_window
8,2,1.0,0.0,0.0,0.32882144337813063,q_memory
8,256,0.4806666666666667,1.0386666666666666,1.007903657797438,0.29581884303741957,reconstruction
8,256,0.504,0.992,0.9987708943576826,0.33669041593090876,sliding_window
