bits,codes,action_agreement,mean_regret,q_distortion,reconstruction_error,method
1,2,1.0,0.0,0.0,0.330382038134682,q_memory
1,2,0.5213333333333333,0.9573333333333334,0.9996839753013819,0.32961000512055466,reconstruction
1,2,0.49466666666666664,1.0106666666666666,1.0002453908897302,0.32862138997988494,sliding_window
2,2,1.0,0.0,0.0,0.330382038134682,q_memory
2,4,0.49666666666666665,1.0066666666666666,0.9998673346005088,0.3291328193541142,reconstruction
2,4,0.49933333333333335,1.0013333333333334,1.0002210436063368,0.32960332021051686,sliding_window
3,2,1.0,0.0,0.0,0.330382038134682,q_memory
3,8,0.4746666666666667,1.0506666666666666,1.0017564657746754,0.3276267356104354,reconstruction
3,8,0.5066666666666667,0.9866666666666667,0.9989845534064347,0.3303527244240403,sliding_window
4,2,1.0,0.0,0.0,0.330382038134682,q_memory
4,16,0.49133333333333334,1.0173333333333334,1.001126817395595,0.3229979209674405,reconstruction
4,16,0.486,1.028,1.0036176682730202,0.3310334062296553,sliding_window
5,2,1.0,0.0,0.0,0.330382038134682,q_memory
5,32,0.506,0.988,0.9994425535868111,0.3152431846799573,reconstruction
5,32,0.516,0.968,0.9956671875564179,0.33073996142432194,sliding_window
6,2,1.0,0.0,0.0,0.330382038134682,q_memory
6,64,0.49666666666666665,1.0066666666666666,0.9989931367122986,0.3074457508384342,reconstruction
6,64,0.49866666666666665,1.0026666666666666,1.0018724487763797,0.32965160251014475,sliding_window
7,2,1.0,0.0,0.0,0.330382038134682,q_memory
7,128,0.512,0.976,0.997265982015617,0.29825693437856243,reconstruction
7,128,0.5093333333333333,0.9813333333333333,0.9966361939861532,0.3336559378011213,sliding_window
8,2,1.0,0.0,0.0,0.330382038134682,q_memory
8,256,0.5246666666666666,0.9506666666666667,0.9937746367856287,0.2844630086726322,reconstruction
8,256,0.472,1.056,1.0129915802398213,0.336578769354275,sliding_window
