objective,codes,bits,seed,action_accuracy,probe_accuracy,q_mse,reconstruction_mse,used_codes,empirical_bits,seconds
q,2,1.0,0,1.0,1.0,0.03624887391924858,3.0777101516723633,2,0.9992142915725708,4.545820236206055
q,2,1.0,1,1.0,1.0,0.0657212883234024,3.0605905055999756,2,0.9983373880386353,3.8711562156677246
q,2,1.0,2,1.0,1.0,0.048979245126247406,3.06404709815979,2,0.9999127388000488,2.9161994457244873
q,2,1.0,3,1.0,1.0,0.012381977401673794,3.066227912902832,2,0.9996508359909058,3.749415874481201
q,2,1.0,4,1.0,1.0,0.007032481487840414,3.073169231414795,2,0.9997395277023315,3.7450063228607178
reconstruction,2,1.0,0,0.48350003361701965,0.5090000033378601,1.1293872594833374,2.6105685234069824,2,0.708736002445221,3.963275194168091
reconstruction,2,1.0,1,0.47600001096725464,0.5055000185966492,1.29727303981781,2.565049409866333,2,0.9362810254096985,3.997681140899658
reconstruction,2,1.0,2,0.4945000112056732,0.4945000112056732,1.0542203187942505,2.6460800170898438,1,2.989735037317587e-08,3.913376808166504
reconstruction,2,1.0,3,0.48900002241134644,0.5109999775886536,1.2549266815185547,2.6513025760650635,1,2.989735037317587e-08,4.139703035354614
reconstruction,2,1.0,4,0.5095000267028809,0.49050000309944153,1.153174638748169,2.661607027053833,1,2.989735037317587e-08,3.9766366481781006
q,4,2.0,0,1.0,1.0,0.004938948899507523,3.0439341068267822,2,0.9992144107818604,4.012794733047485
q,4,2.0,1,1.0,1.0,0.021683840081095695,3.0508596897125244,2,0.9983373880386353,3.902153491973877
q,4,2.0,2,1.0,1.0,0.008791830390691757,3.024962902069092,2,0.9999128580093384,3.9633841514587402
q,4,2.0,3,1.0,1.0,0.012910978868603706,3.0358359813690186,2,0.9996509552001953,3.8684887886047363
q,4,2.0,4,1.0,1.0,0.012536019086837769,3.014037847518921,2,0.9997396469116211,3.697192430496216
reconstruction,4,2.0,0,0.48350003361701965,0.5164999961853027,1.0414097309112549,2.628554344177246,1,8.96920511195276e-08,4.001953840255737
reconstruction,4,2.0,1,0.4845000207424164,0.5130000114440918,1.0450142621994019,2.5492703914642334,2,0.9972254633903503,3.2175981998443604
reconstruction,4,2.0,2,0.5065000057220459,0.5055000185966492,1.0554845333099365,2.5646755695343018,2,0.9128700494766235,3.792140245437622
reconstruction,4,2.0,3,0.5110000371932983,0.5109999775886536,1.084251046180725,2.6324214935302734,1,8.96920511195276e-08,4.1385338306427
reconstruction,4,2.0,4,0.51500004529953,0.4880000054836273,1.0783584117889404,2.5410914421081543,2,0.9959387183189392,3.2193210124969482
q,8,3.0,0,1.0,1.0,0.0026536451186984777,3.0218353271484375,2,0.9992146492004395,3.9653353691101074
q,8,3.0,1,1.0,1.0,0.002986484207212925,3.028303861618042,2,0.9983375072479248,2.781859874725342
q,8,3.0,2,1.0,1.0,0.0033341809175908566,3.0138485431671143,2,0.9999130964279175,3.717315196990967
q,8,3.0,3,0.999500036239624,0.9994999766349792,0.008174395188689232,3.020456552505493,2,0.9996187090873718,3.269406795501709
q,8,3.0,4,1.0,1.0,0.003578284988179803,3.0101568698883057,2,0.999739944934845,3.7290422916412354
reconstruction,8,3.0,0,0.5164999961853027,0.5164999961853027,0.9991332292556763,2.6403024196624756,1,2.0928145261223108e-07,4.100501298904419
reconstruction,8,3.0,1,0.5240000486373901,0.5239999890327454,1.017142415046692,2.634870767593384,1,2.0928145261223108e-07,3.9853782653808594
reconstruction,8,3.0,2,0.5055000185966492,0.4945000112056732,1.030194878578186,2.636709451675415,1,2.0928145261223108e-07,4.03582239151001
reconstruction,8,3.0,3,0.5110000371932983,0.5109999775886536,1.0256671905517578,2.6256256103515625,1,2.0928145261223108e-07,4.033693313598633
reconstruction,8,3.0,4,0.5095000267028809,0.49050000309944153,1.0032936334609985,2.6350669860839844,1,2.0928145261223108e-07,3.607229232788086
