bits,codes,action_agreement,mean_regret,q_distortion,reconstruction_error,method
1,2,1.0,0.0,0.0,0.330394191422089,q_memory
1,2,0.5073333333333333,0.9853333333333333,0.999827185387016,0.3300314030429148,reconstruction
1,2,0.49533333333333335,1.0093333333333334,1.0000286115104176,0.3293649441297025,sliding_window
2,2,1.0,0.0,0.0,0.330394191422089,q_memory
2,4,0.49666666666666665,1.0066666666666666,1.0001028072029072,0.32959566840349247,reconstruction
2,4,0.522,0.956,0.9994292323355063,0.329786035073123,sliding_window
3,2,1.0,0.0,0.0,0.330394191422089,q_memory
3,8,0.4866666666666667,1.0266666666666666,1.0002693597709806,0.32785996423844843,reconstruction
3,8,0.506,0.988,0.9991270454236797,0.33023574235102154,sliding_window
4,2,1.0,0.0,0.0,0.330394191422089,q_memory
4,16,0.49866666666666665,1.0026666666666666,1.0001393685352713,0.32348687603049114,reconstruction
4,16,0.49933333333333335,1.0013333333333334,1.0019179470289454,0.3303138344231562,sliding_window
5,2,1.0,0.0,0.0,0.330394191422089,q_memory
5,32,0.49266666666666664,1.0146666666666666,1.0012525753359962,0.3177810585344503,reconstruction
5,32,0.5346666666666666,0.9306666666666666,0.9929916468769482,0.3306854618337055,sliding_window
6,2,1.0,0.0,0.0,0.330394191422089,q_memory
6,64,0.5053333333333333,0.9893333333333333,0.9989894842604061,0.31187129315749657,reconstruction
6,64,0.482,1.036,1.003419893573821,0.3307608161412744,sliding_window
7,2,1.0,0.0,0.0,0.330394191422089,q_memory
7,128,0.504,0.992,0.9950481191352158,0.30398630546038347,reconstruction
7,128,0.5046666666666667,0.9906666666666667,0.9971790914021275,0.3330080967940209,sliding_window
8,2,1.0,0.0,0.0,0.330394191422089,q_memory
8,256,0.5146666666666667,0.9706666666666667,0.9861315000301413,0.29546555964727883,reconstruction
8,256,0.5006666666666667,0.9986666666666667,0.9993504111787864,0.33776509573329716,sliding_window
